Group,Kanji,English Meaning,Onyomi,Kunyomi,JLPT N5 Vocab with Kanji
Places and Directions,中,"Middle, center, inner, between",chuu,naka,"日中 (during the day, midday)"
Places and Directions,北,North,hoku,kita,北 (north)
Places and Directions,西,West,"sai, sei",nishi,西 (west)
Places and Directions,東,East,tou,higashi,東京 (Tokyo)
Places and Directions,南,South,nan,minami,南 (south)
Places and Directions,右,Right,yuu,migi,右 (right)
Places and Directions,左,Left,sa,hidari,左 (left)
Verbs,見,"To see, to be visible, to show",ken,mi(ru),見せる (to show)
Verbs,聞,"To hear, to listen, to ask","mon, bun",ki(ku),"聞く (to listen, to hear)"
Verbs,書,To write,sho,ka(ku),辞書 (dictionary)
Verbs,読,To read,doku,yo(mu),読む (to read)
Verbs,話,"To talk, conversation",wa,"hanashi, hana(su)",電話 (telephone)
Verbs,買,To buy,bai,ka(u),買い物 (shopping)
Verbs,行,"To go, to carry out",kou,"i(ku), okona(u)",銀行 (bank)
Verbs,出,"To go out, to leave",shutsu,"de(ru), da(su)",出かける (to go out)
Verbs,入,"To enter, to put in",nyuu,"hai(ru), i(reru)",入口 (entrance)
Verbs,休,"To rest, break, holiday, vacation",kyuu,"yasu(mu), yasu(mi)",休む (to take a day off)
Verbs,食,"To eat, food",shoku,ta(beru),食堂 (dining room)
Verbs,飲,"To drink, a drink",in,no(mu),飲み物 (beverage)
Verbs,言,"To talk, word","gen, gon",i(u),言う (to say)
Verbs,立,To stand,ritsu,ta(tsu),立つ (to stand)
Verbs,会,"To meet, society","kai, e",a(u),会社 (company)
Adjectives,多,"A lot, many",ta,oo(i),"多い (many), 多分 (probably)"
Adjectives,少,"A little, few",shou,"suko(shi), suku(nai)",少ない (few)
Adjectives,古,Old,ko,furu(i),古い (old)
Adjectives,新,New,shin,atara(shii),"新しい (new), 新聞 (newspaper)"
Adjectives,大,"Big, a lot","dai, tai",oo(kii),"大きい (big), 大変 (dreadful, immense)"
Adjectives,小,"Little, small",shou,"chii(sai), ko",小さい (little)
Adjectives,安,"Cheap, safety, peace",an,yasu(i),安い (cheap)
Adjectives,高,"Expensive, high",kou,taka(i),高い (expensive)
Adjectives,長,"Long, leader",chou,naga(i),"長い (long), 部長 (manager)"
Adjectives,白,White,"haku, byaku","shiro, shiro(i)","白い (white), 面白い (interesting)"
